date, pm25, pm10, o3, no2, so2, co
7/20/2019,151,187,41,19,8,6
7/21/2019,186,85,38,10,5,3
7/22/2019,138,45,16,6,2,2
7/23/2019,108,51,21,5,2,2
7/24/2019,105,61,27,9,4,4
7/25/2019,121,68,48,10,2,3
7/26/2019,115,119,51,16,5,5
7/27/2019,167,141,28,15,8,4
7/28/2019,164,119,42,12,7,3
7/29/2019,157,93,42,10,5,2
7/30/2019,129,138,63,12,7,4
7/31/2019,164,131,58,13,10,3
8/1/2019,159,250,78,22,14,3
8/2/2019,239,175,80,18,7,4
8/3/2019,182,172,87,20,11,4
8/4/2019,195,171,60,14,8,4
8/5/2019,170,122,49,12,5,4
8/6/2019,108,522,40,8,3,4
8/7/2019,191,208,28,13,8,5
8/8/2019,153,83,49,8,2,2
8/9/2019,104,103,60,10,4,5
8/10/2019,141,133,54,19,8,7
8/11/2019,155,214, ,18,10,11
8/12/2019,134,219,29,8,8,12
8/13/2019,127,78,24,7,5,18
8/14/2019,73,64,48,6,5,25
8/15/2019,76,79,46,10,5,14
8/16/2019,80,72,38,12,3,10
8/17/2019,107,86,61,12,4,8
8/18/2019,154,96,32,7,5,10
8/19/2019,103,65,59,7,4,8
8/20/2019,111,48,30,7,3,9
8/21/2019,98,63,26,10,3,8
8/22/2019,121,69,41,8,3,8
8/23/2019,94,86,44,10,5,9
8/24/2019,120,111,37,14,5,9
8/25/2019,154,90,50,6,8,8
8/26/2019,121,286,62,8,7,10
8/27/2019,132,283,44,10,5,8
8/28/2019,163,106,47,12,6,24
8/29/2019,130,120,37,11,6,41
8/30/2019,122,105,31,8,4,31
8/31/2019,105,92,26,5,3,14
9/1/2019,102,110,32,8,2,12
9/2/2019,123,162,18,9,3,15
9/3/2019,135,167,14,5,3,13
9/4/2019,113,85,19,7,2,18
9/5/2019,98,94,14,10,2,13
9/6/2019,109,94,11,8,2,12
9/7/2019,117,59,4,5,2,13
9/8/2019,87,52,4,5,2,17
9/9/2019,73,60,7,10,2,12
9/10/2019,107,86,14,14,2,9
